#TF1
#Name: Neutron efficiency
#Parent pad: 0
#range: (0, 10)
#Pts: 10000
#Line_color: 1, 0, 0
#Line_style: solid
#Line_width: 2
#x, f(x)
1.151, 10.2474
1.152, 10.246
1.153, 10.2446
1.154, 10.2431
1.155, 10.2417
1.156, 10.2403
1.157, 10.2388
1.158, 10.2374
1.159, 10.236
1.16, 10.2345
1.161, 10.2331
1.162, 10.2317
1.163, 10.2303
1.164, 10.2288
1.165, 10.2274
1.166, 10.226
1.167, 10.2246
1.168, 10.2231
1.169, 10.2217
1.17, 10.2203
1.171, 10.2188
1.172, 10.2174
1.173, 10.216
1.174, 10.2146
1.175, 10.2132
1.176, 10.2117
1.177, 10.2103
1.178, 10.2089
1.179, 10.2075
1.18, 10.2061
1.181, 10.2046
1.182, 10.2032
1.183, 10.2018
1.184, 10.2004
1.185, 10.199
1.186, 10.1976
1.187, 10.1962
1.188, 10.1947
1.189, 10.1933
1.19, 10.1919
1.191, 10.1905
1.192, 10.1891
1.193, 10.1877
1.194, 10.1863
1.195, 10.1849
1.196, 10.1834
1.197, 10.182
1.198, 10.1806
1.199, 10.1792
1.2, 10.1778
1.201, 10.1764
1.202, 10.175
1.203, 10.1736
1.204, 10.1722
1.205, 10.1708
1.206, 10.1694
1.207, 10.168
1.208, 10.1666
1.209, 10.1652
1.21, 10.1638
1.211, 10.1624
1.212, 10.161
1.213, 10.1596
1.214, 10.1582
1.215, 10.1568
1.216, 10.1554
1.217, 10.154
1.218, 10.1526
1.219, 10.1512
1.22, 10.1498
1.221, 10.1484
1.222, 10.147
1.223, 10.1456
1.224, 10.1442
1.225, 10.1428
1.226, 10.1414
1.227, 10.14
1.228, 10.1386
1.229, 10.1372
1.23, 10.1358
1.231, 10.1344
1.232, 10.1331
1.233, 10.1317
1.234, 10.1303
1.235, 10.1289
1.236, 10.1275
1.237, 10.1261
1.238, 10.1247
1.239, 10.1233
1.24, 10.122
1.241, 10.1206
1.242, 10.1192
1.243, 10.1178
1.244, 10.1164
1.245, 10.115
1.246, 10.1137
1.247, 10.1123
1.248, 10.1109
1.249, 10.1095
1.25, 10.1081
1.251, 10.1068
1.252, 10.1054
1.253, 10.104
1.254, 10.1026
1.255, 10.1012
1.256, 10.0999
1.257, 10.0985
1.258, 10.0971
1.259, 10.0957
1.26, 10.0944
1.261, 10.093
1.262, 10.0916
1.263, 10.0902
1.264, 10.0889
1.265, 10.0875
1.266, 10.0861
1.267, 10.0848
1.268, 10.0834
1.269, 10.082
1.27, 10.0806
1.271, 10.0793
1.272, 10.0779
1.273, 10.0765
1.274, 10.0752
1.275, 10.0738
1.276, 10.0724
1.277, 10.0711
1.278, 10.0697
1.279, 10.0683
1.28, 10.067
1.281, 10.0656
1.282, 10.0643
1.283, 10.0629
1.284, 10.0615
1.285, 10.0602
1.286, 10.0588
1.287, 10.0575
1.288, 10.0561
1.289, 10.0547
1.29, 10.0534
1.291, 10.052
1.292, 10.0507
1.293, 10.0493
1.294, 10.0479
1.295, 10.0466
1.296, 10.0452
1.297, 10.0439
1.298, 10.0425
1.299, 10.0412
1.3, 10.0398
1.301, 10.0385
1.302, 10.0371
1.303, 10.0358
1.304, 10.0344
1.305, 10.0331
1.306, 10.0317
1.307, 10.0304
1.308, 10.029
1.309, 10.0277
1.31, 10.0263
1.311, 10.025
1.312, 10.0236
1.313, 10.0223
1.314, 10.0209
1.315, 10.0196
1.316, 10.0182
1.317, 10.0169
1.318, 10.0156
1.319, 10.0142
1.32, 10.0129
1.321, 10.0115
1.322, 10.0102
1.323, 10.0088
1.324, 10.0075
1.325, 10.0062
1.326, 10.0048
1.327, 10.0035
1.328, 10.0021
1.329, 10.0008
1.33, 9.99946
1.331, 9.99813
1.332, 9.99679
1.333, 9.99546
1.334, 9.99412
1.335, 9.99279
1.336, 9.99145
1.337, 9.99012
1.338, 9.98878
1.339, 9.98745
1.34, 9.98611
1.341, 9.98478
1.342, 9.98345
1.343, 9.98213
1.344, 9.9808
1.345, 9.97947
1.346, 9.97814
1.347, 9.97681
1.348, 9.97548
1.349, 9.97415
1.35, 9.97282
1.351, 9.97149
1.352, 9.97017
1.353, 9.96884
1.354, 9.96752
1.355, 9.96619
1.356, 9.96487
1.357, 9.96354
1.358, 9.96222
1.359, 9.9609
1.36, 9.95957
1.361, 9.95825
1.362, 9.95693
1.363, 9.95561
1.364, 9.95429
1.365, 9.95297
1.366, 9.95165
1.367, 9.95033
